epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,772.462,0.93051,1.39831,1.07081,0.94697,0.90363,0.95927,0.70928,0.89587,1.28501,1.04543,0.000662698,0.000662698,0.000662698
2,1550,0.91761,0.87133,1.05412,0.89547,0.88152,0.93975,0.58602,1.22443,0.98691,1.25073,0.00130304,0.00130304,0.00130304
3,2357.12,0.91455,0.70851,1.05063,0.96249,0.93233,0.96475,0.73856,0.79718,0.62168,1.00227,0.00191699,0.00191699,0.00191699
4,3058.11,0.88351,0.63436,1.03316,0.96994,0.93681,0.97614,0.75962,0.80672,0.53328,0.98789,0.0018812,0.0018812,0.0018812
5,3783.4,0.87255,0.6067,1.02921,0.97059,0.94155,0.97494,0.72214,0.90738,0.63679,1.04893,0.0018416,0.0018416,0.0018416
6,4444.18,0.85278,0.56247,1.01481,0.96918,0.95893,0.97461,0.77835,0.7539,0.47425,0.96349,0.001802,0.001802,0.001802
7,5103.83,0.81873,0.5346,1.0029,0.95084,0.97779,0.98281,0.78259,0.7296,0.45762,0.95011,0.0017624,0.0017624,0.0017624
8,5762.76,0.80676,0.5195,1.00138,0.9633,0.95363,0.98085,0.80071,0.71002,0.46379,0.93435,0.0017228,0.0017228,0.0017228
9,6422.65,0.79743,0.52204,1.00167,0.9772,0.94471,0.9835,0.79255,0.71642,0.44612,0.94881,0.0016832,0.0016832,0.0016832
10,7080.83,0.77552,0.48211,0.98831,0.96927,0.95419,0.9795,0.73468,0.84837,0.46116,1.00344,0.0016436,0.0016436,0.0016436
11,7741.07,0.77638,0.4879,0.99069,0.96537,0.97314,0.9832,0.80663,0.67692,0.39364,0.9278,0.001604,0.001604,0.001604
12,8403.07,0.76077,0.47622,0.98887,0.97608,0.96711,0.9821,0.79215,0.74603,0.40264,0.95575,0.0015644,0.0015644,0.0015644
13,9064.68,0.771,0.47362,0.98908,0.97101,0.97314,0.99014,0.76945,0.74923,0.43606,0.95891,0.0015248,0.0015248,0.0015248
14,9711.27,0.74542,0.45346,0.98092,0.98381,0.95995,0.98742,0.81666,0.65579,0.36005,0.92603,0.0014852,0.0014852,0.0014852
15,10358.1,0.69835,0.43684,0.96269,0.96992,0.98104,0.98973,0.81588,0.66101,0.38137,0.92348,0.0014456,0.0014456,0.0014456
16,11005.6,0.71963,0.43352,0.9688,0.96781,0.97314,0.98577,0.83849,0.61925,0.3581,0.91063,0.001406,0.001406,0.001406
17,11651,0.69881,0.42997,0.96263,0.97912,0.96319,0.9849,0.78617,0.75269,0.38181,0.96081,0.0013664,0.0013664,0.0013664
18,12299,0.69271,0.42047,0.96035,0.98387,0.96349,0.98824,0.78455,0.76347,0.38122,0.97005,0.0013268,0.0013268,0.0013268
19,12946.7,0.68966,0.41546,0.9627,0.97942,0.97717,0.99023,0.84369,0.61821,0.32773,0.90167,0.0012872,0.0012872,0.0012872
20,13595.8,0.66739,0.40023,0.94943,0.97049,0.97788,0.98949,0.84701,0.60517,0.33036,0.9053,0.0012476,0.0012476,0.0012476
21,14242.6,0.68369,0.40406,0.95929,0.97885,0.96998,0.99217,0.80099,0.70686,0.35663,0.94747,0.001208,0.001208,0.001208
22,14889.1,0.67339,0.40597,0.95341,0.97781,0.97472,0.98888,0.83759,0.62974,0.32959,0.90704,0.0011684,0.0011684,0.0011684
23,15539.9,0.66599,0.39718,0.94954,0.97882,0.97156,0.98896,0.80775,0.69408,0.33871,0.94348,0.0011288,0.0011288,0.0011288
24,16185.3,0.66236,0.39701,0.94532,0.97826,0.9763,0.98937,0.85005,0.59074,0.32782,0.90133,0.0010892,0.0010892,0.0010892
25,16832.7,0.66473,0.39521,0.94654,0.97238,0.97472,0.99168,0.82569,0.67292,0.34227,0.93183,0.0010496,0.0010496,0.0010496
26,17480.5,0.63982,0.37622,0.94043,0.97865,0.97946,0.98796,0.8481,0.61223,0.32858,0.89739,0.00101,0.00101,0.00101
27,18131.7,0.63207,0.37737,0.93921,0.98053,0.97788,0.98771,0.84819,0.58135,0.31731,0.89544,0.0009704,0.0009704,0.0009704
28,18795.6,0.64361,0.37311,0.94068,0.97551,0.97788,0.9906,0.85199,0.59053,0.30043,0.90169,0.0009308,0.0009308,0.0009308
29,19440.6,0.63242,0.3624,0.93706,0.98499,0.98104,0.98781,0.8522,0.5901,0.29592,0.90186,0.0008912,0.0008912,0.0008912
30,20087.3,0.62104,0.36758,0.92939,0.97781,0.97474,0.98764,0.83794,0.61626,0.30767,0.90677,0.0008516,0.0008516,0.0008516
31,20742.8,0.61445,0.35647,0.92421,0.98408,0.97622,0.98751,0.82111,0.65539,0.33269,0.92978,0.000812,0.000812,0.000812
32,21395.5,0.59777,0.3524,0.92322,0.97943,0.97785,0.99106,0.86616,0.54004,0.2873,0.88144,0.0007724,0.0007724,0.0007724
33,22041.4,0.59891,0.3446,0.929,0.97789,0.97821,0.99175,0.83905,0.63278,0.30948,0.91707,0.0007328,0.0007328,0.0007328
34,22685.3,0.59345,0.34444,0.92142,0.98269,0.97314,0.99159,0.86644,0.54871,0.28448,0.88432,0.0006932,0.0006932,0.0006932
35,23320.1,0.58507,0.33845,0.92342,0.9824,0.97946,0.99315,0.85954,0.56369,0.28576,0.89009,0.0006536,0.0006536,0.0006536
36,23948.7,0.57581,0.33334,0.91812,0.98527,0.9763,0.9921,0.85905,0.5687,0.2862,0.88504,0.000614,0.000614,0.000614
37,24577.5,0.57402,0.33539,0.91497,0.9792,0.98262,0.99316,0.85422,0.58408,0.28579,0.89865,0.0005744,0.0005744,0.0005744
38,25205.4,0.56918,0.32318,0.91901,0.98247,0.97383,0.9931,0.87442,0.53023,0.27771,0.87344,0.0005348,0.0005348,0.0005348
39,25834.5,0.56448,0.32076,0.91837,0.98407,0.97618,0.99235,0.85601,0.57353,0.2864,0.89809,0.0004952,0.0004952,0.0004952
40,26463.9,0.55088,0.31866,0.91052,0.98708,0.96526,0.99257,0.85239,0.57996,0.28775,0.90175,0.0004556,0.0004556,0.0004556
41,27089.3,0.51191,0.26762,0.86716,0.97108,0.97946,0.99217,0.84906,0.60523,0.29913,0.89671,0.000416,0.000416,0.000416
42,27715.8,0.50103,0.26378,0.86447,0.97648,0.97946,0.99255,0.85538,0.59735,0.28425,0.89832,0.0003764,0.0003764,0.0003764
43,28340.8,0.49401,0.25914,0.85828,0.9903,0.96754,0.99164,0.88122,0.5221,0.26822,0.87209,0.0003368,0.0003368,0.0003368
44,28966.5,0.47977,0.24975,0.85986,0.97643,0.98184,0.99222,0.89078,0.50715,0.26166,0.86853,0.0002972,0.0002972,0.0002972
45,29591.9,0.47304,0.24621,0.85269,0.98796,0.96998,0.99256,0.87403,0.53294,0.26471,0.87747,0.0002576,0.0002576,0.0002576
46,30218.5,0.46447,0.24554,0.85134,0.98715,0.97058,0.99339,0.88009,0.52429,0.25931,0.87824,0.000218,0.000218,0.000218
47,30846.5,0.45715,0.2358,0.84875,0.98717,0.97251,0.99189,0.8794,0.53191,0.26107,0.87654,0.0001784,0.0001784,0.0001784
48,31476.4,0.4503,0.23309,0.84917,0.9879,0.97472,0.99268,0.88196,0.52683,0.25603,0.87471,0.0001388,0.0001388,0.0001388
49,32138.9,0.44196,0.22748,0.84052,0.98597,0.9763,0.99299,0.87715,0.5323,0.25407,0.87604,9.92e-05,9.92e-05,9.92e-05
50,32825.7,0.43188,0.22248,0.84107,0.98213,0.9763,0.99269,0.8857,0.51129,0.24776,0.86762,5.96e-05,5.96e-05,5.96e-05
